color,movie_title,genero,plot_keywords,director_facebook_likes,actor_3_facebook_likes,actor_2_name,actor_1_facebook_likes,gross,,actor_1_name,,num_voted_users,cast_total_facebook_likes,actor_3_name,facenumber_in_poster,,movie_imdb_link,num_user_for_reviews,language,country,content_rating,budget,title_year,actor_2_facebook_likes,imdb_score,aspect_ratio,movie_facebook_likes
Color,The Great Gatsby ,Drama|Romance,ingratitude|mansion|party|title appears in writing|tragedy,1000,77,Elizabeth Debicki,29000,144812796,,Leonardo DiCaprio,,362912,29770,Steve Bisley,4,,http://www.imdb.com/title/tt1343092/?ref_=fn_tt_tt_1,753,English,Australia,PG-13,105000000,2013,509,7.3,2.35,115000
Color,Prince of Persia: The Sands of Time ,Action|Adventure|Fantasy|Romance,alamut|dagger|king|persia|princess,179,236,Richard Coyle,15000,90755643,,Jake Gyllenhaal,,222403,16149,Reece Ritchie,2,,http://www.imdb.com/title/tt0473075/?ref_=fn_tt_tt_1,453,English,USA,PG-13,200000000,2010,567,6.6,2.35,23000
Color,Pacific Rim ,Action|Adventure|Sci-Fi,giant monster|kaiju|pilot|portal|robot,0,919,Clifton Collins Jr.,16000,101785482,,Charlie Hunnam,,381148,19166,Larry Joe Campbell,0,,http://www.imdb.com/title/tt1663662/?ref_=fn_tt_tt_1,1106,English,USA,PG-13,190000000,2013,968,7,1.85,83000
Color,Transformers: Dark of the Moon ,Action|Adventure|Sci-Fi,autobot|decepticon|job interview|moon|spacecraft,0,581,Lester Speight,894,352358779,,Glenn Morshower,,326180,2593,Kevin Dunn,2,,http://www.imdb.com/title/tt1399103/?ref_=fn_tt_tt_1,899,English,USA,PG-13,195000000,2011,829,6.3,2.35,46000
Color,Indiana Jones and the Kingdom of the Crystal Skull ,Action|Adventure|Fantasy,cult figure|femme fatale|indiana jones|unsubtitled foreign language|year 1957,14000,1000,Ray Winstone,11000,317011114,,Harrison Ford,,333847,14959,Jim Broadbent,2,,http://www.imdb.com/title/tt0367882/?ref_=fn_tt_tt_1,2054,English,USA,PG-13,185000000,2008,1000,6.2,2.35,5000
Color,The Good Dinosaur ,Adventure|Animation|Comedy|Family|Fantasy,apatosaurus|asteroid|dinosaur|fear|river,113,113,Jack McGraw,275,123070338,,A.J. Buckley,,62836,696,Peter Sohn,0,,http://www.imdb.com/title/tt1979388/?ref_=fn_tt_tt_1,345,English,USA,PG,,2015,150,6.8,2.35,20000
Color,Brave ,Adventure|Animation|Comedy|Family|Fantasy,archery|coming of age|female warrior|princess|rebellious daughter,56,838,John Ratzenberger,2000,237282182,,Kelly Macdonald,,273556,5005,Julie Walters,0,,http://www.imdb.com/title/tt1217209/?ref_=fn_tt_tt_1,428,English,USA,PG,185000000,2012,1000,7.2,2.35,39000
Color,Star Trek Beyond ,Action|Adventure|Sci-Fi|Thriller,hatred|sequel|space opera|star trek|third part,681,105,Melissa Roxburgh,998,130468626,,Sofia Boutella,,53607,1327,Lydia Wilson,4,,http://www.imdb.com/title/tt2660888/?ref_=fn_tt_tt_1,432,English,USA,PG-13,185000000,2016,119,7.5,2.35,30000
Color,WALL·E ,Adventure|Animation|Family|Sci-Fi,earth|obesity|plant|robot|soil,475,522,Fred Willard,1000,223806889,,John Ratzenberger,,718837,2975,Jeff Garlin,0,,http://www.imdb.com/title/tt0910970/?ref_=fn_tt_tt_1,1043,English,USA,G,180000000,2008,729,8.4,2.35,16000
Color,Rush Hour 3 ,Action|Comedy|Crime|Thriller,ambassador|assassination|chinese|french|triad,420,173,Dana Ivey,268,140080850,,Tzi Ma,,121084,1125,Noémie Lenoir,2,,http://www.imdb.com/title/tt0293564/?ref_=fn_tt_tt_1,221,English,USA,PG-13,140000000,2007,268,6.2,2.35,0
Color,2012 ,Action|Adventure|Sci-Fi,ark|catastrophe|geologist|president|writer,776,310,Liam James,1000,166112167,,Oliver Platt,,283418,2144,Tom McCarthy,0,,http://www.imdb.com/title/tt1190080/?ref_=fn_tt_tt_1,1055,English,USA,PG-13,200000000,2009,468,5.8,2.35,13000
Color,A Christmas Carol ,Animation|Drama|Family|Fantasy,charles dickens|christmas|christmas eve|ghost|scrooge,0,10000,Colin Firth,18000,137850096,,Robin Wright,,72809,48878,Gary Oldman,0,,http://www.imdb.com/title/tt1067106/?ref_=fn_tt_tt_1,249,English,USA,PG,200000000,2009,14000,6.8,2.35,0
Color,Jupiter Ascending ,Action|Adventure|Sci-Fi,box office flop|critically bashed|planet earth|space opera|woman in bra and panties,0,13000,Mila Kunis,17000,47375327,,Channing Tatum,,139593,47334,Eddie Redmayne,1,,http://www.imdb.com/title/tt1617661/?ref_=fn_tt_tt_1,720,English,USA,PG-13,176000000,2015,15000,5.4,2.35,44000
Color,The Legend of Tarzan ,Action|Adventure|Drama|Romance,africa|capture|jungle|male objectification|tarzan,282,103,Alexander Skarsgård,11000,124051759,,Christoph Waltz,,42372,21175,Casper Crump,2,,http://www.imdb.com/title/tt0918940/?ref_=fn_tt_tt_1,239,English,USA,PG-13,180000000,2016,10000,6.6,2.35,29000
Color,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe ",Adventure|Family|Fantasy,hide and seek|lion|magic|professor|snow,80,82,Kiran Shah,1000,291709845,,Jim Broadbent,,286506,1317,Shane Rangi,5,,http://www.imdb.com/title/tt0363771/?ref_=fn_tt_tt_1,1463,English,USA,PG,180000000,2005,190,6.9,2.35,0
Color,X-Men: Apocalypse ,Action|Adventure|Sci-Fi,mutant|superhero|superhero team|x men|year 1983,0,1000,Michael Fassbender,34000,154985087,,Jennifer Lawrence,,148379,49684,Tye Sheridan,6,,http://www.imdb.com/title/tt3385516/?ref_=fn_tt_tt_1,622,English,USA,PG-13,178000000,2016,13000,7.3,2.35,54000
Color,The Dark Knight ,Action|Crime|Drama|Thriller,based on comic book|dc comics|psychopath|star died before release|urban setting,22000,11000,Heath Ledger,23000,533316061,,Christian Bale,,1676169,57802,Morgan Freeman,0,,http://www.imdb.com/title/tt0468569/?ref_=fn_tt_tt_1,4667,English,USA,PG-13,185000000,2008,13000,9,2.35,37000
Color,Up ,Adventure|Animation|Comedy|Family,balloon|house|promise|retirement|skeleton,0,262,Delroy Lindo,1000,292979556,,John Ratzenberger,,665575,2635,Jess Harnell,1,,http://www.imdb.com/title/tt1049413/?ref_=fn_tt_tt_1,704,English,USA,PG,175000000,2009,848,8.3,1.85,27000
Color,Monsters vs. Aliens ,Action|Adventure|Animation|Comedy|Family|Sci-Fi,alien|alien invasion|alien space craft|giant|giantess,11,459,Rainn Wilson,1000,198332128,,Amy Poehler,,114553,2579,Stephen Colbert,2,,http://www.imdb.com/title/tt0892782/?ref_=fn_tt_tt_1,187,English,USA,PG,175000000,2009,973,6.5,2.35,0
Color,Iron Man ,Action|Adventure|Sci-Fi,afghanistan|billionaire|inventor|playboy|u.s. air force,4000,4000,Jeff Bridges,21000,318298180,,Robert Downey Jr.,,696338,39252,Jon Favreau,3,,http://www.imdb.com/title/tt0371746/?ref_=fn_tt_tt_1,1055,English,USA,PG-13,140000000,2008,12000,7.9,2.35,10000
Color,Hugo ,Adventure|Drama|Family|Mystery,automaton|mechanical|railway station|steampunk|train,17000,1000,Christopher Lee,17000,73820094,,Chloë Grace Moretz,,245333,36017,Ray Winstone,0,,http://www.imdb.com/title/tt0970179/?ref_=fn_tt_tt_1,678,English,USA,PG,170000000,2011,16000,7.5,1.85,42000
Color,Wild Wild West ,Action|Comedy|Sci-Fi|Western,buddy movie|general|inventor|steampunk|utah,188,582,Salma Hayek,10000,113745408,,Will Smith,,129601,15870,Bai Ling,2,,http://www.imdb.com/title/tt0120891/?ref_=fn_tt_tt_1,648,English,USA,PG-13,170000000,1999,4000,4.8,1.85,0
Color,The Mummy: Tomb of the Dragon Emperor ,Action|Adventure|Fantasy|Horror|Thriller,army|china|emperor|mummy|shangri la,357,595,Brendan Fraser,5000,102176165,,Jet Li,,117927,9131,Russell Wong,2,,http://www.imdb.com/title/tt0859163/?ref_=fn_tt_tt_1,501,English,USA,PG-13,145000000,2008,3000,5.2,2.35,0
Color,Suicide Squad ,Action|Adventure|Comedy|Sci-Fi,based on comic book|critically bashed|father daughter relationship|reference to superman|super villain,452,329,Robin Atkin Downes,10000,161087183,,Will Smith,,118992,11287,Ike Barinholtz,8,,http://www.imdb.com/title/tt1386697/?ref_=fn_tt_tt_1,971,English,USA,PG-13,175000000,2016,336,6.9,2.35,80000
Color,Evan Almighty ,Comedy|Family|Fantasy,ark|change|congressman|depiction of god|flood,293,7000,Morgan Freeman,87000,100289690,,Jimmy Bennett,,115099,108016,Steve Carell,0,,http://www.imdb.com/title/tt0413099/?ref_=fn_tt_tt_1,257,English,USA,PG,175000000,2007,11000,5.4,2.35,2000
Color,Edge of Tomorrow ,Action|Adventure|Sci-Fi,alien|combat|dying repeatedly|end of the world|time loop,218,509,Lara Pulver,10000,100189501,,Tom Cruise,,431620,12652,Noah Taylor,1,,http://www.imdb.com/title/tt1631867/?ref_=fn_tt_tt_1,741,English,USA,PG-13,178000000,2014,854,7.9,2.35,77000
Color,Waterworld ,Action|Adventure|Sci-Fi|Thriller,future|sail|sea|smoker|water,58,60,Rick Aviles,711,88246220,,Jeanne Tripplehorn,,144337,1004,Zakes Mokae,0,,http://www.imdb.com/title/tt0114898/?ref_=fn_tt_tt_1,309,English,USA,PG-13,175000000,1995,60,6.1,1.85,0
Color,G.I. Joe: The Rise of Cobra ,Action|Adventure|Sci-Fi|Thriller,cobra|gi joe|snake|train|warhead,208,570,Dennis Quaid,23000,150167630,,Joseph Gordon-Levitt,,174578,26683,Leo Howard,4,,http://www.imdb.com/title/tt1046173/?ref_=fn_tt_tt_1,534,English,USA,PG-13,175000000,2009,2000,5.8,2.35,0
Color,Inside Out ,Adventure|Animation|Comedy|Drama|Family|Fantasy,anger|joy|memory|running away|sadness,0,384,Mindy Kaling,1000,356454367,,Amy Poehler,,345198,2944,Phyllis Smith,1,,http://www.imdb.com/title/tt2096673/?ref_=fn_tt_tt_1,773,English,USA,PG,175000000,2015,767,8.3,1.85,118000
Color,The Jungle Book ,Adventure|Drama|Family|Fantasy,fire|jungle|remake|tiger|wolf,4000,591,Bill Murray,19000,362645141,,Scarlett Johansson,,106072,32921,Garry Shandling,0,,http://www.imdb.com/title/tt3040964/?ref_=fn_tt_tt_1,398,English,UK,PG,175000000,2016,13000,7.8,1.85,65000
Color,Iron Man 2 ,Action|Adventure|Sci-Fi,hammer|military|monaco|revenge|tony stark,4000,4000,Scarlett Johansson,21000,312057433,,Robert Downey Jr.,,522371,48638,Jon Favreau,4,,http://www.imdb.com/title/tt1228705/?ref_=fn_tt_tt_1,723,English,USA,PG-13,200000000,2010,19000,7,2.35,18000
